date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:56:29	136/136	---M--	200	added ('OK')	text/plain	etag:%2264118b92-88%22	https://www.studiogusto.com/robots.txt		(from )
17:56:29	70246/70246	---MCZ	200	added ('OK')	text/html	etag:W/%2264118b26-11266%22	https://www.studiogusto.com/	/Users/sammitala/Desktop/Nick%20/Nick/www.studiogusto.com/index.html	(from )
17:56:30	1140/1140	---M--	200	added ('OK')	image/png	etag:%2264118b41-474%22	https://www.studiogusto.com/favicon/favicon-1.png	/Users/sammitala/Desktop/Nick%20/Nick/www.studiogusto.com/favicon/favicon-1.png	(from https://www.studiogusto.com/)
17:56:31	45197/45197	---M--	200	added ('OK')	image/jpeg	etag:%2264118b3f-b08d%22	https://www.studiogusto.com/images/seo_image.jpg	/Users/sammitala/Desktop/Nick%20/Nick/www.studiogusto.com/images/seo_image.jpg	(from https://www.studiogusto.com/)
17:56:31	28672/28672	---M--	200	added ('OK')	application/octet-stream	etag:%2264118b40-7000%22	https://www.studiogusto.com/fonts/Matter-Regular.woff2	/Users/sammitala/Desktop/Nick%20/Nick/www.studiogusto.com/fonts/Matter-Regular.woff2	(from https://www.studiogusto.com/)
17:56:33	2065/2065	---MCZ	200	added ('OK')	text/css	etag:W/%2264118b2e-811%22	https://www.studiogusto.com/_next/static/css/88d894a0105078b7.css	/Users/sammitala/Desktop/Nick%20/Nick/www.studiogusto.com/_next/static/css/88d894a0105078b7.css	(from https://www.studiogusto.com/)
17:56:34	91460/91460	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264118b30-16544%22	https://www.studiogusto.com/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	/Users/sammitala/Desktop/Nick%20/Nick/www.studiogusto.com/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	(from https://www.studiogusto.com/)
17:56:35	4443/4443	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264118b2f-115b%22	https://www.studiogusto.com/_next/static/chunks/webpack-f0d57b22f654a765.js	/Users/sammitala/Desktop/Nick%20/Nick/www.studiogusto.com/_next/static/chunks/webpack-f0d57b22f654a765.js	(from https://www.studiogusto.com/)
17:56:36	141056/141056	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264118b2f-22700%22	https://www.studiogusto.com/_next/static/chunks/framework-2bb1844fb22814b3.js	/Users/sammitala/Desktop/Nick%20/Nick/www.studiogusto.com/_next/static/chunks/framework-2bb1844fb22814b3.js	(from https://www.studiogusto.com/)
17:56:37	89999/89999	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264118b2f-15f8f%22	https://www.studiogusto.com/_next/static/chunks/main-b1241a9a70bb7dcd.js	/Users/sammitala/Desktop/Nick%20/Nick/www.studiogusto.com/_next/static/chunks/main-b1241a9a70bb7dcd.js	(from https://www.studiogusto.com/)
17:56:38	411733/411733	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264118b37-64855%22	https://www.studiogusto.com/_next/static/chunks/pages/_app-9cd123001ea4375d.js	/Users/sammitala/Desktop/Nick%20/Nick/www.studiogusto.com/_next/static/chunks/pages/_app-9cd123001ea4375d.js	(from https://www.studiogusto.com/)
17:56:39	608524/608524	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264118b31-9490c%22	https://www.studiogusto.com/_next/static/chunks/fb7d5399-6d9bdf998eec5522.js	/Users/sammitala/Desktop/Nick%20/Nick/www.studiogusto.com/_next/static/chunks/fb7d5399-6d9bdf998eec5522.js	(from https://www.studiogusto.com/)
17:56:40	18253/18253	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264118b33-474d%22	https://www.studiogusto.com/_next/static/chunks/966-a0bf47fa78d6a016.js	/Users/sammitala/Desktop/Nick%20/Nick/www.studiogusto.com/_next/static/chunks/966-a0bf47fa78d6a016.js	(from https://www.studiogusto.com/)
17:56:41	159151/159151	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264118b2e-26daf%22	https://www.studiogusto.com/_next/static/chunks/743-e4cfc99772e11e2a.js	/Users/sammitala/Desktop/Nick%20/Nick/www.studiogusto.com/_next/static/chunks/743-e4cfc99772e11e2a.js	(from https://www.studiogusto.com/)
17:56:42	127438/127438	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264118b33-1f1ce%22	https://www.studiogusto.com/_next/static/chunks/188-2528e37ec318f1e1.js	/Users/sammitala/Desktop/Nick%20/Nick/www.studiogusto.com/_next/static/chunks/188-2528e37ec318f1e1.js	(from https://www.studiogusto.com/)
17:56:43	20645/20645	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264118b30-50a5%22	https://www.studiogusto.com/_next/static/chunks/503-0cab194544986496.js	/Users/sammitala/Desktop/Nick%20/Nick/www.studiogusto.com/_next/static/chunks/503-0cab194544986496.js	(from https://www.studiogusto.com/)
17:56:44	8619/8619	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264118b33-21ab%22	https://www.studiogusto.com/_next/static/chunks/773-aa15d9d4a5b7c652.js	/Users/sammitala/Desktop/Nick%20/Nick/www.studiogusto.com/_next/static/chunks/773-aa15d9d4a5b7c652.js	(from https://www.studiogusto.com/)
17:56:45	10809/10809	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264118b33-2a39%22	https://www.studiogusto.com/_next/static/chunks/437-c4f84f12dd55e310.js	/Users/sammitala/Desktop/Nick%20/Nick/www.studiogusto.com/_next/static/chunks/437-c4f84f12dd55e310.js	(from https://www.studiogusto.com/)
17:56:46	15983/15983	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264118b37-3e6f%22	https://www.studiogusto.com/_next/static/chunks/pages/index-70d2116f01e3a9d7.js	/Users/sammitala/Desktop/Nick%20/Nick/www.studiogusto.com/_next/static/chunks/pages/index-70d2116f01e3a9d7.js	(from https://www.studiogusto.com/)
17:56:47	1317/1317	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264118b2d-525%22	https://www.studiogusto.com/_next/static/rGxysVShMnotCuIQPxSXJ/_buildManifest.js	/Users/sammitala/Desktop/Nick%20/Nick/www.studiogusto.com/_next/static/rGxysVShMnotCuIQPxSXJ/_buildManifest.js	(from https://www.studiogusto.com/)
17:56:47	214/214	---M--	200	added ('OK')	application/javascript	etag:%2264118b2d-d6%22	https://www.studiogusto.com/_next/static/rGxysVShMnotCuIQPxSXJ/_ssgManifest.js	/Users/sammitala/Desktop/Nick%20/Nick/www.studiogusto.com/_next/static/rGxysVShMnotCuIQPxSXJ/_ssgManifest.js	(from https://www.studiogusto.com/)
17:56:49	69227/69227	---MCZ	200	added ('OK')	text/html	etag:W/%2264118b2b-10e6b%22	https://www.studiogusto.com/project/new-superyacht-generation	/Users/sammitala/Desktop/Nick%20/Nick/www.studiogusto.com/project/new-superyacht-generation.html	(from https://www.studiogusto.com/)
17:56:50	55218/55218	---MCZ	200	added ('OK')	text/html	etag:W/%2264118b2a-d7b2%22	https://www.studiogusto.com/project/credits-de-papel	/Users/sammitala/Desktop/Nick%20/Nick/www.studiogusto.com/project/credits-de-papel.html	(from https://www.studiogusto.com/)
17:56:51	60584/60584	---MCZ	200	added ('OK')	text/html	etag:W/%2264118b28-eca8%22	https://www.studiogusto.com/project/creativity-meets-healthy-food	/Users/sammitala/Desktop/Nick%20/Nick/www.studiogusto.com/project/creativity-meets-healthy-food.html	(from https://www.studiogusto.com/)
17:56:52	80177/80177	---MCZ	200	added ('OK')	text/html	etag:W/%2264118b28-13931%22	https://www.studiogusto.com/project/experience-the-beauty-of-timeless-design	/Users/sammitala/Desktop/Nick%20/Nick/www.studiogusto.com/project/experience-the-beauty-of-timeless-design.html	(from https://www.studiogusto.com/)
17:56:53	47212/47212	---MCZ	200	added ('OK')	text/html	etag:W/%2264118b28-b86c%22	https://www.studiogusto.com/project/the-spirit-of-umbria	/Users/sammitala/Desktop/Nick%20/Nick/www.studiogusto.com/project/the-spirit-of-umbria.html	(from https://www.studiogusto.com/)
17:56:54	54023/54023	---MCZ	200	added ('OK')	text/html	etag:W/%2264118b2b-d307%22	https://www.studiogusto.com/project/movement-community-and-science	/Users/sammitala/Desktop/Nick%20/Nick/www.studiogusto.com/project/movement-community-and-science.html	(from https://www.studiogusto.com/)
17:56:55	80935/80935	---MCZ	200	added ('OK')	text/html	etag:W/%2264118b25-13c27%22	https://www.studiogusto.com/works	/Users/sammitala/Desktop/Nick%20/Nick/www.studiogusto.com/works.html	(from https://www.studiogusto.com/)
17:56:56	60127/60127	---MCZ	200	added ('OK')	text/html	etag:W/%2264118b2c-eadf%22	https://www.studiogusto.com/news/peptone-chooses-studiogusto	/Users/sammitala/Desktop/Nick%20/Nick/www.studiogusto.com/news/peptone-chooses-studiogusto.html	(from https://www.studiogusto.com/)
17:56:57	60672/60672	---MCZ	200	added ('OK')	text/html	etag:W/%2264118b2c-ed00%22	https://www.studiogusto.com/news/a-journey-of-two-the-power-of-co-branding-for-indel-b-and-fiamma	/Users/sammitala/Desktop/Nick%20/Nick/www.studiogusto.com/news/a-journey-of-two-the-power-of-co-branding-for-indel-b-and-fiamma.html	(from https://www.studiogusto.com/)
17:56:58	38017/38017	---MCZ	200	added ('OK')	text/html	etag:W/%2264118b26-9481%22	https://www.studiogusto.com/blog	/Users/sammitala/Desktop/Nick%20/Nick/www.studiogusto.com/blog.html	(from https://www.studiogusto.com/)
17:56:59	63978/63978	---MCZ	200	added ('OK')	text/html	etag:W/%2264118b26-f9ea%22	https://www.studiogusto.com/studio	/Users/sammitala/Desktop/Nick%20/Nick/www.studiogusto.com/studio.html	(from https://www.studiogusto.com/)
17:57:00	38894/38894	---MCZ	200	added ('OK')	text/html	etag:W/%2264118b26-97ee%22	https://www.studiogusto.com/contact	/Users/sammitala/Desktop/Nick%20/Nick/www.studiogusto.com/contact.html	(from https://www.studiogusto.com/)
17:57:01	30922/30922	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264118b3e-78ca%22	https://www.studiogusto.com/_next/static/chunks/pages/project/%5Bslug%5D-efa2ee69971f8c47.js	/Users/sammitala/Desktop/Nick%20/Nick/www.studiogusto.com/_next/static/chunks/pages/project/[slug]-efa2ee69971f8c47.js	(from https://www.studiogusto.com/project/new-superyacht-generation)
17:57:02	71337/71337	---MCZ	200	added ('OK')	text/html	etag:W/%2264118b28-116a9%22	https://www.studiogusto.com/project/the-new-green-is-blue	/Users/sammitala/Desktop/Nick%20/Nick/www.studiogusto.com/project/the-new-green-is-blue.html	(from https://www.studiogusto.com/project/experience-the-beauty-of-timeless-design)
17:57:03	56452/56452	---MCZ	200	added ('OK')	text/html	etag:W/%2264118b28-dc84%22	https://www.studiogusto.com/project/the-magical-e-commerce-extraordinaire	/Users/sammitala/Desktop/Nick%20/Nick/www.studiogusto.com/project/the-magical-e-commerce-extraordinaire.html	(from https://www.studiogusto.com/project/the-spirit-of-umbria)
17:57:04	61468/61468	---MCZ	200	added ('OK')	text/html	etag:W/%2264118b2a-f01c%22	https://www.studiogusto.com/project/the-art-of-water	/Users/sammitala/Desktop/Nick%20/Nick/www.studiogusto.com/project/the-art-of-water.html	(from https://www.studiogusto.com/project/movement-community-and-science)
17:57:05	9023/9023	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264118b34-233f%22	https://www.studiogusto.com/_next/static/chunks/929-77588873d03ae1c1.js	/Users/sammitala/Desktop/Nick%20/Nick/www.studiogusto.com/_next/static/chunks/929-77588873d03ae1c1.js	(from https://www.studiogusto.com/works)
17:57:06	7525/7525	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264118b36-1d65%22	https://www.studiogusto.com/_next/static/chunks/pages/works-0916d942ca15dee8.js	/Users/sammitala/Desktop/Nick%20/Nick/www.studiogusto.com/_next/static/chunks/pages/works-0916d942ca15dee8.js	(from https://www.studiogusto.com/works)
17:57:07	61942/61942	---MCZ	200	added ('OK')	text/html	etag:W/%2264118b28-f1f6%22	https://www.studiogusto.com/project/off-vanlife-y-outdoor-spirit	/Users/sammitala/Desktop/Nick%20/Nick/www.studiogusto.com/project/off-vanlife-y-outdoor-spirit.html	(from https://www.studiogusto.com/works)
17:57:08	50152/50152	---MCZ	200	added ('OK')	text/html	etag:W/%2264118b28-c3e8%22	https://www.studiogusto.com/project/la-divina-meets-webgl	/Users/sammitala/Desktop/Nick%20/Nick/www.studiogusto.com/project/la-divina-meets-webgl.html	(from https://www.studiogusto.com/works)
17:57:09	55558/55558	---MCZ	200	added ('OK')	text/html	etag:W/%2264118b2a-d906%22	https://www.studiogusto.com/project/refrigeration-solutions	/Users/sammitala/Desktop/Nick%20/Nick/www.studiogusto.com/project/refrigeration-solutions.html	(from https://www.studiogusto.com/works)
17:57:10	56956/56956	---MCZ	200	added ('OK')	text/html	etag:W/%2264118b28-de7c%22	https://www.studiogusto.com/project/chemistry-3d-and-sound	/Users/sammitala/Desktop/Nick%20/Nick/www.studiogusto.com/project/chemistry-3d-and-sound.html	(from https://www.studiogusto.com/works)
17:57:11	57146/57146	---MCZ	200	added ('OK')	text/html	etag:W/%2264118b29-df3a%22	https://www.studiogusto.com/project/contemporary-terrazzo	/Users/sammitala/Desktop/Nick%20/Nick/www.studiogusto.com/project/contemporary-terrazzo.html	(from https://www.studiogusto.com/works)
17:57:12	69786/69786	---MCZ	200	added ('OK')	text/html	etag:W/%2264118b2b-1109a%22	https://www.studiogusto.com/project/where-light-is	/Users/sammitala/Desktop/Nick%20/Nick/www.studiogusto.com/project/where-light-is.html	(from https://www.studiogusto.com/works)
17:57:13	58232/58232	---MCZ	200	added ('OK')	text/html	etag:W/%2264118b27-e378%22	https://www.studiogusto.com/project/italian-style-with-an-international-touch	/Users/sammitala/Desktop/Nick%20/Nick/www.studiogusto.com/project/italian-style-with-an-international-touch.html	(from https://www.studiogusto.com/works)
17:57:14	50660/50660	---MCZ	200	added ('OK')	text/html	etag:W/%2264118b2a-c5e4%22	https://www.studiogusto.com/project/swim-like-you-never-did	/Users/sammitala/Desktop/Nick%20/Nick/www.studiogusto.com/project/swim-like-you-never-did.html	(from https://www.studiogusto.com/works)
17:57:15	50674/50674	---MCZ	200	added ('OK')	text/html	etag:W/%2264118b2a-c5f2%22	https://www.studiogusto.com/project/the-human-machine	/Users/sammitala/Desktop/Nick%20/Nick/www.studiogusto.com/project/the-human-machine.html	(from https://www.studiogusto.com/works)
17:57:16	33682/33682	---MCZ	200	added ('OK')	text/html	etag:W/%2264118b27-8392%22	https://www.studiogusto.com/project/a-font-named-franciscus	/Users/sammitala/Desktop/Nick%20/Nick/www.studiogusto.com/project/a-font-named-franciscus.html	(from https://www.studiogusto.com/works)
17:57:17	48555/48555	---MCZ	200	added ('OK')	text/html	etag:W/%2264118b28-bdab%22	https://www.studiogusto.com/project/a-digital-manifesto	/Users/sammitala/Desktop/Nick%20/Nick/www.studiogusto.com/project/a-digital-manifesto.html	(from https://www.studiogusto.com/works)
17:57:18	49952/49952	---MCZ	200	added ('OK')	text/html	etag:W/%2264118b29-c320%22	https://www.studiogusto.com/project/luxury-suits-you-well	/Users/sammitala/Desktop/Nick%20/Nick/www.studiogusto.com/project/luxury-suits-you-well.html	(from https://www.studiogusto.com/works)
17:57:19	56663/56663	---MCZ	200	added ('OK')	text/html	etag:W/%2264118b2a-dd57%22	https://www.studiogusto.com/project/master-of-the-italian-living	/Users/sammitala/Desktop/Nick%20/Nick/www.studiogusto.com/project/master-of-the-italian-living.html	(from https://www.studiogusto.com/works)
17:57:20	47683/47683	---MCZ	200	added ('OK')	text/html	etag:W/%2264118b2a-ba43%22	https://www.studiogusto.com/project/design-from-miami	/Users/sammitala/Desktop/Nick%20/Nick/www.studiogusto.com/project/design-from-miami.html	(from https://www.studiogusto.com/works)
17:57:21	80920/80920	---MCZ	200	added ('OK')	text/html	etag:W/%2264118b26-13c18%22	https://www.studiogusto.com/awards	/Users/sammitala/Desktop/Nick%20/Nick/www.studiogusto.com/awards.html	(from https://www.studiogusto.com/works)
17:57:22	7979/7979	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264118b3e-1f2b%22	https://www.studiogusto.com/_next/static/chunks/pages/news/%5Bslug%5D-686cf8137f9e5e67.js	/Users/sammitala/Desktop/Nick%20/Nick/www.studiogusto.com/_next/static/chunks/pages/news/[slug]-686cf8137f9e5e67.js	(from https://www.studiogusto.com/news/peptone-chooses-studiogusto)
17:57:23	60379/60379	---MCZ	200	added ('OK')	text/html	etag:W/%2264118b2c-ebdb%22	https://www.studiogusto.com/news/sailing-for-a-new-route-the-digital-experience-as-a-game-changer-for-Rossinavi	/Users/sammitala/Desktop/Nick%20/Nick/www.studiogusto.com/news/sailing-for-a-new-route-the-digital-experience-as-a-game-changer-for-Rossinavi.html	(from https://www.studiogusto.com/news/a-journey-of-two-the-power-of-co-branding-for-indel-b-and-fiamma)
17:57:24	1904/1904	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264118b37-770%22	https://www.studiogusto.com/_next/static/chunks/pages/blog-ab27203774100cdb.js	/Users/sammitala/Desktop/Nick%20/Nick/www.studiogusto.com/_next/static/chunks/pages/blog-ab27203774100cdb.js	(from https://www.studiogusto.com/blog)
17:57:25	61478/61478	---MCZ	200	added ('OK')	text/html	etag:W/%2264118b2c-f026%22	https://www.studiogusto.com/news/misura-and-studiogusto-six-years-of-collaboration	/Users/sammitala/Desktop/Nick%20/Nick/www.studiogusto.com/news/misura-and-studiogusto-six-years-of-collaboration.html	(from https://www.studiogusto.com/blog)
17:57:26	18150/18150	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264118b36-46e6%22	https://www.studiogusto.com/_next/static/chunks/pages/studio-7a22e9f12741427c.js	/Users/sammitala/Desktop/Nick%20/Nick/www.studiogusto.com/_next/static/chunks/pages/studio-7a22e9f12741427c.js	(from https://www.studiogusto.com/studio)
17:57:27	14751/14751	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264118b37-399f%22	https://www.studiogusto.com/_next/static/chunks/pages/contact-3578c1d4533705b3.js	/Users/sammitala/Desktop/Nick%20/Nick/www.studiogusto.com/_next/static/chunks/pages/contact-3578c1d4533705b3.js	(from https://www.studiogusto.com/contact)
17:57:27	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2005%20Apr%202023%2014:57:27%20GMT	https://www.studiogusto.com/project/	/Users/sammitala/Desktop/Nick%20/Nick/www.studiogusto.com/project/index.html	(from https://www.studiogusto.com/project/a-font-named-franciscus)
17:57:28	9005/9005	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264118b36-232d%22	https://www.studiogusto.com/_next/static/chunks/pages/awards-856bec458a5a8abb.js	/Users/sammitala/Desktop/Nick%20/Nick/www.studiogusto.com/_next/static/chunks/pages/awards-856bec458a5a8abb.js	(from https://www.studiogusto.com/awards)
17:57:28	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2005%20Apr%202023%2014:57:28%20GMT	https://www.studiogusto.com/project	/Users/sammitala/Desktop/Nick%20/Nick/www.studiogusto.com/project	(from https://www.studiogusto.com/project/)
17:57:29	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2005%20Apr%202023%2014:57:28%20GMT	https://www.studiogusto.com/cssdesignawards.com/sites/you-matter/30847/	/Users/sammitala/Desktop/Nick%20/Nick/www.studiogusto.com/cssdesignawards.com/sites/you-matter/30847/index.html	(from https://www.studiogusto.com/awards)
17:57:29	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2005%20Apr%202023%2014:57:29%20GMT	https://www.studiogusto.com/project	/Users/sammitala/Desktop/Nick%20/Nick/www.studiogusto.com/project	(from https://www.studiogusto.com/project/)
17:57:30	5217/5217	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	etag:W/%2264118b26-579f%22	https://www.studiogusto.com/cssdesignawards.com/sites/you-matter/30847	/Users/sammitala/Desktop/Nick%20/Nick/www.studiogusto.com/cssdesignawards.com/sites/you-matter/30847	(from https://www.studiogusto.com/cssdesignawards.com/sites/you-matter/30847/)
